url,status,h1_text,error,status_code
http://dev-release-m2v243.mrliving.tw/frenchcountry-manor10.html,404_not_found,,404 Not Found,404
http://dev-release-m2v243.mrliving.tw/diningchair-paris-fabric-grey.html,404_not_found,,404 Not Found,404
http://dev-release-m2v243.mrliving.tw/diningchair-paris-fabric-pink.html,404_not_found,,404 Not Found,404
http://dev-release-m2v243.mrliving.tw/diningchair-paris-fabric-green.html,404_not_found,,404 Not Found,404
http://dev-release-m2v243.mrliving.tw/twinkle-1s-ivory.html,accessible,Twinkle 布單人椅 (Weave Ivory),,200
http://dev-release-m2v243.mrliving.tw/diningchair-chicago-leather-black.html,404_not_found,,404 Not Found,404
http://dev-release-m2v243.mrliving.tw/bryant-footstool-cubabone.html,accessible,Bryant 布腳凳 (Cuba Bone),,200
http://dev-release-m2v243.mrliving.tw/twinkle-ottoman-ivory.html,accessible,Twinkle 布腳凳 (Weave Ivory),,200
http://dev-release-m2v243.mrliving.tw/12-0033-0-17.html,404_not_found,,404 Not Found,404
http://dev-release-m2v243.mrliving.tw/ww-dining-chair-232.html,accessible,White & Wood 北歐風布餐椅,,200
http://dev-release-m2v243.mrliving.tw/diningchair-lona-leather.html,accessible,Lona 北歐風皮餐椅,,200
http://dev-release-m2v243.mrliving.tw/diningchair-lona-fabric.html,accessible,Lona 北歐風扶手布餐椅,,200
http://dev-release-m2v243.mrliving.tw/diningchair-cuba-leather-gery.html,accessible,Cuba 皮餐椅 迷霧灰,,200
http://dev-release-m2v243.mrliving.tw/diningchair-boston-leather-tan.html,accessible,Boston 皮餐椅 焦糖棕,,200
http://dev-release-m2v243.mrliving.tw/diningchair-cuba-leather-tan.html,accessible,Cuba 皮餐椅 焦糖棕,,200
http://dev-release-m2v243.mrliving.tw/diningchair-boston-leather-darkgrey.html,accessible,Boston 皮餐椅 頁岩灰,,200
http://dev-release-m2v243.mrliving.tw/diningchair-pop-black.html,404_not_found,,404 Not Found,404
http://dev-release-m2v243.mrliving.tw/diningchair-cuba-leather-black.html,accessible,Cuba 皮餐椅 石墨黑,,200
http://dev-release-m2v243.mrliving.tw/diningchair-pop-white.html,404_not_found,,404 Not Found,404
http://dev-release-m2v243.mrliving.tw/diningchair-pop-grey.html,404_not_found,,404 Not Found,404
http://dev-release-m2v243.mrliving.tw/antony-diningchair.html,404_not_found,,404 Not Found,404
http://dev-release-m2v243.mrliving.tw/diningchair-mars-arm-natural.html,404_not_found,,404 Not Found,404
http://dev-release-m2v243.mrliving.tw/diningchair-florence-leather-grey.html,accessible,Florence 皮餐椅 迷霧灰,,200
http://dev-release-m2v243.mrliving.tw/diningchair-florence-leather-tan.html,accessible,Florence 皮餐椅 焦糖棕,,200
http://dev-release-m2v243.mrliving.tw/martin-diningchair-fabric.html,accessible,Martin 布餐椅,,200
http://dev-release-m2v243.mrliving.tw/dinchair-arm-devin-koks.html,404_not_found,,404 Not Found,404
http://dev-release-m2v243.mrliving.tw/nora-fab-diningchair.html,404_not_found,,404 Not Found,404
http://dev-release-m2v243.mrliving.tw/cocoa-lea-diningchair-tan.html,404_not_found,,404 Not Found,404
http://dev-release-m2v243.mrliving.tw/dalas-diningchair-leather.html,accessible,Dalas 皮餐椅,,200
http://dev-release-m2v243.mrliving.tw/diningchair-milan-tan.html,accessible,Milan 餐椅 可可棕,,200
http://dev-release-m2v243.mrliving.tw/diningchair-milan-darkgrey.html,accessible,Milan 餐椅 頁岩灰,,200
http://dev-release-m2v243.mrliving.tw/cocoa-lea-diningchair-grey.html,404_not_found,,404 Not Found,404
http://dev-release-m2v243.mrliving.tw/beetle-fab-diningchair-grey.html,404_not_found,,404 Not Found,404
http://dev-release-m2v243.mrliving.tw/beetle-lea-diningchair-tan.html,404_not_found,,404 Not Found,404
http://dev-release-m2v243.mrliving.tw/beetle-lea-diningchair-grey.html,404_not_found,,404 Not Found,404
http://dev-release-m2v243.mrliving.tw/antony-lea-diningchair-tan.html,404_not_found,,404 Not Found,404
http://dev-release-m2v243.mrliving.tw/antony-lea-diningchair-black.html,404_not_found,,404 Not Found,404
http://dev-release-m2v243.mrliving.tw/12-0080-0-12.html,404_not_found,,404 Not Found,404
http://dev-release-m2v243.mrliving.tw/blackwood-bench.html,404_not_found,,404 Not Found,404
http://dev-release-m2v243.mrliving.tw/audrey-lea-diningchair.html,accessible,Audrey 皮餐椅,,200
http://dev-release-m2v243.mrliving.tw/ww-bench.html,404_not_found,,404 Not Found,404
http://dev-release-m2v243.mrliving.tw/diningchair-reno-leather-tan.html,accessible,Reno 皮餐椅 焦糖棕,,200
http://dev-release-m2v243.mrliving.tw/bw04180220994.html,404_not_found,,404 Not Found,404
http://dev-release-m2v243.mrliving.tw/woodwood-bench.html,404_not_found,,404 Not Found,404
http://dev-release-m2v243.mrliving.tw/ww-small-stool-chair.html,404_not_found,,404 Not Found,404
http://dev-release-m2v243.mrliving.tw/diningchair-reno-fabric-grey.html,accessible,Reno 布餐椅 香草灰,,200
http://dev-release-m2v243.mrliving.tw/megan-diningchair.html,accessible,Megan 布餐椅,,200
http://dev-release-m2v243.mrliving.tw/dinchair-winsor-white.html,accessible,Winsor 布餐椅 水洗白,,200
http://dev-release-m2v243.mrliving.tw/dinchair-winsor-nature.html,accessible,Winsor 布餐椅 原木色,,200
http://dev-release-m2v243.mrliving.tw/dinchair-winsor-walnut.html,accessible,Winsor 布餐椅 胡桃色,,200
http://dev-release-m2v243.mrliving.tw/antony-dressingchair.html,accessible,【北歐復古】Antony 化妝凳 赤栗棕,,200
http://dev-release-m2v243.mrliving.tw/bench-jenson-fabric.html,accessible,Jenson 北歐風布面板凳,,200
http://dev-release-m2v243.mrliving.tw/bench-jenson-leather.html,accessible,Jenson 皮面板凳,,200
http://dev-release-m2v243.mrliving.tw/charles-dressingchair.html,accessible,Charles 化妝凳/書椅,,200
http://dev-release-m2v243.mrliving.tw/nora-bench-132cm.html,404_not_found,,404 Not Found,404
http://dev-release-m2v243.mrliving.tw/carl-vanitystool.html,404_not_found,,404 Not Found,404
http://dev-release-m2v243.mrliving.tw/martin-bench-fabric.html,accessible,Martin 布面板凳,,200
http://dev-release-m2v243.mrliving.tw/carl-bench.html,404_not_found,,404 Not Found,404
http://dev-release-m2v243.mrliving.tw/audrey-vanitystool.html,404_not_found,,404 Not Found,404
http://dev-release-m2v243.mrliving.tw/barchair-mars-natural.html,404_not_found,,404 Not Found,404
http://dev-release-m2v243.mrliving.tw/arthur.html,accessible,Arthur 化妝凳/書椅,,200
http://dev-release-m2v243.mrliving.tw/nora-vanitystool.html,accessible,Nora 化妝凳/書椅,,200
http://dev-release-m2v243.mrliving.tw/counterchair-circle.html,404_not_found,,404 Not Found,404
http://dev-release-m2v243.mrliving.tw/counterchair-whitewood-fab-grey.html,404_not_found,,404 Not Found,404
http://dev-release-m2v243.mrliving.tw/counterchair-whitewood-lea-black.html,404_not_found,,404 Not Found,404
http://dev-release-m2v243.mrliving.tw/carl-storage-stool.html,accessible,Carl 小方凳/邊几,,200
http://dev-release-m2v243.mrliving.tw/arthur-bench.html,accessible,Arthur 實木板凳,,200
http://dev-release-m2v243.mrliving.tw/14-0018-0-17.html,404_not_found,,404 Not Found,404
http://dev-release-m2v243.mrliving.tw/nora-bench-112cm.html,accessible,Nora 實木板凳 112cm,,200
http://dev-release-m2v243.mrliving.tw/counterchair-bruno-fabric-grey.html,accessible,Bruno 布中島椅 芝麻灰,,200
http://dev-release-m2v243.mrliving.tw/blackwood-nest-tables-smallset.html,404_not_found,,404 Not Found,404
http://dev-release-m2v243.mrliving.tw/counterchair-bruno-leather-tan.html,accessible,Bruno 皮中島椅 焦糖棕,,200
http://dev-release-m2v243.mrliving.tw/barchair-bruno-fabric-grey.html,accessible,Bruno 布吧台椅 芝麻灰,,200
http://dev-release-m2v243.mrliving.tw/barchair-bruno-leather-tan.html,accessible,Bruno 皮吧台椅 焦糖棕,,200
http://dev-release-m2v243.mrliving.tw/circle041801.html,404_not_found,,404 Not Found,404
http://dev-release-m2v243.mrliving.tw/frame041803.html,404_not_found,,404 Not Found,404
http://dev-release-m2v243.mrliving.tw/whitewood-triangle-coffee-table.html,404_not_found,,404 Not Found,404
http://dev-release-m2v243.mrliving.tw/20-0014-0-06.html,404_not_found,,404 Not Found,404
http://dev-release-m2v243.mrliving.tw/20-0034-0-06.html,404_not_found,,404 Not Found,404
http://dev-release-m2v243.mrliving.tw/circle041802.html,404_not_found,,404 Not Found,404
http://dev-release-m2v243.mrliving.tw/20-0035-0-06.html,404_not_found,,404 Not Found,404
http://dev-release-m2v243.mrliving.tw/counterchair-cuba-leather-tan.html,accessible,Cuba 皮中島椅 焦糖棕,,200
http://dev-release-m2v243.mrliving.tw/barchair-cuba-leather-tan.html,accessible,Cuba 皮吧台椅 焦糖棕,,200
http://dev-release-m2v243.mrliving.tw/table-set-aula.html,404_not_found,,404 Not Found,404
http://dev-release-m2v243.mrliving.tw/20-0040-0-06.html,404_not_found,,404 Not Found,404
http://dev-release-m2v243.mrliving.tw/frenchcountry-classique1.html,404_not_found,,404 Not Found,404
http://dev-release-m2v243.mrliving.tw/frenchcountry-romantic9.html,404_not_found,,404 Not Found,404
http://dev-release-m2v243.mrliving.tw/frenchcountry-manor7.html,404_not_found,,404 Not Found,404
http://dev-release-m2v243.mrliving.tw/20-0053-0-15.html,404_not_found,,404 Not Found,404
http://dev-release-m2v243.mrliving.tw/20-0054-0-15.html,404_not_found,,404 Not Found,404
http://dev-release-m2v243.mrliving.tw/20-0055-0-15.html,404_not_found,,404 Not Found,404
http://dev-release-m2v243.mrliving.tw/20-0056-0-15.html,404_not_found,,404 Not Found,404
http://dev-release-m2v243.mrliving.tw/carrera-belatable-3.html,404_not_found,,404 Not Found,404
http://dev-release-m2v243.mrliving.tw/florence-counterchair-lea-tan.html,accessible,Florence 皮中島椅 焦糖棕,,200
http://dev-release-m2v243.mrliving.tw/carrera-belatable-4.html,404_not_found,,404 Not Found,404
http://dev-release-m2v243.mrliving.tw/manhattan-coffee-table-black.html,404_not_found,,404 Not Found,404
http://dev-release-m2v243.mrliving.tw/florence-counterchair-lea-grey.html,accessible,Florence 皮中島椅 迷霧灰,,200
http://dev-release-m2v243.mrliving.tw/blackwood-sofatable.html,accessible,Black & Wood 工業風沙發邊几,,200
